x> y^ xi yf
Sample	Amplitude
814	0.954691172
815	0.954699814
816	0.954708397
817	0.95471704
818	0.954725683
819	0.954734325
820	0.954742968
821	0.954751611
822	0.954760253
823	0.954768896
824	0.954777539
825	0.954786181
826	0.954794824
827	0.954803467
828	0.954812109
829	0.954820752
830	0.954829395
831	0.954837978
832	0.954846621
833	0.954855263
834	0.954863906
835	0.954872549
836	0.954881191
837	0.954889834
838	0.954898477
839	0.954907119
840	0.954915762
841	0.954924405
842	0.954933047
843	0.95494169
844	0.954950333
845	0.954958916
846	0.954967558
847	0.954976201
848	0.954984844
849	0.954993486
850	0.955002129
851	0.955010772
852	0.955019414
853	0.955028057
854	0.9550367
855	0.955045342
856	0.955053985
857	0.955062628
858	0.95507127
859	0.955079854
860	0.955088496
861	0.955097139
862	0.955105782
863	0.955114424
864	0.955123067
865	0.95513171
866	0.955140352
867	0.955148995
868	0.955157638
869	0.95516628
870	0.955174923
871	0.955183566
872	0.955192208
873	0.955200851
874	0.955209434
875	0.955218077
876	0.955226719
877	0.955235362
878	0.955244005
879	0.955252647
880	0.95526129
881	0.955269933
882	0.955278575
883	0.955287218
884	0.955295861
885	0.955304503
